2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,10
2020-04-18,10
2020-04-19,10
2020-04-20,10
2020-04-21,3
2020-04-22,3
2020-04-23,10
2020-04-24,10
2020-04-25,10
2020-04-26,4
2020-04-27,4
2020-04-28,3
2020-04-29,6
2020-04-30,12
2020-05-01,2
2020-05-02,3
2020-05-03,3
2020-05-04,1
2020-05-05,12
2020-05-06,12
2020-05-07,12
2020-05-08,7
2020-05-09,7
2020-05-10,5
2020-05-11,9
2020-05-12,16
2020-05-13,8
2020-05-14,2
2020-05-15,48
2020-05-16,11
2020-05-17,11
2020-05-18,1
2020-05-19,21
2020-05-20,11
2020-05-21,6
2020-05-22,2
2020-05-23,17
2020-05-24,2
2020-05-25,10
2020-05-26,15
2020-05-27,3
2020-05-28,43
2020-05-29,4
2020-05-30,125
2020-05-31,93
2020-06-01,147
2020-06-02,155
2020-06-03,205
2020-06-04,137
2020-06-05,68
2020-06-06,153
2020-06-07,174
2020-06-08,70
2020-06-09,23
2020-06-10,49
2020-06-11,97
2020-06-12,48
2020-06-13,318
2020-06-14,335
2020-06-15,304
2020-06-16,318
2020-06-17,237
